1940.0	980.0	20	2
3039.0	766.0	2	2
1883.0	977.0	3	2
2025.0	1780.0	1	2
2367.0	1760.0	1	3
1840.0	1267.0	6	2
1866.0	976.0	4	2
2056.0	1477.0	2	3
2765.0	996.0	5	2
1883.0	975.0	3	2
1706.0	1912.0	1	2
2139.0	1696.0	1	2
1739.0	1472.0	4	2
1102.0	2036.0	1	2
2845.0	910.0	1	3
1496.0	1801.0	4	2
2140.0	1604.0	131	3
1383.0	564.0	2	2
1908.0	981.0	2	1
2172.0	1644.0	2	3
761.0	1515.0	3	3
1989.0	1244.0	3	2
1987.0	949.0	19	2
1873.0	1465.0	5	2
2749.0	1180.0	6	2
1613.0	1714.0	4	0
2197.0	1710.0	36	2
1779.0	1789.0	1	2
1424.0	1690.0	3	2
1994.0	426.0	1	3
1984.0	953.0	19	2
1883.0	980.0	3	2
1798.0	1986.0	4	2
1612.0	1968.0	1	2
1658.0	1983.0	4	2
2250.0	943.0	9	2
2066.0	1028.0	107	2
1985.0	949.0	19	2
1846.0	1402.0	1	0
1375.0	1997.0	2	2
1575.0	1024.0	1	3
2264.0	940.0	9	2
1986.0	1782.0	7	2
2041.0	1383.0	3	2
1811.0	1969.0	1	2
1310.0	884.0	1	2
1680.0	1700.0	4	0
1818.0	1817.0	6	2
1672.0	1512.0	1	2
1986.0	947.0	19	2
1676.0	1418.0	2	2
2108.0	1619.0	2	3
1937.0	1400.0	1	3
1440.0	947.0	4	2
1788.0	879.0	1	3
2925.0	902.0	9	2
1603.0	1662.0	1	3
1597.0	1152.0	1	2
52.0	262.0	2	0
2023.0	1049.0	9	2
2008.0	842.0	17	2
1620.0	1190.0	1	2
1758.0	2009.0	1	2
1797.0	1068.0	107	2
1987.0	949.0	19	2
1986.0	951.0	19	2
1537.0	1214.0	1	2
1742.0	2071.0	1	3
2031.0	1856.0	1	3
2117.0	1545.0	5	2
1987.0	949.0	19	2
1601.0	1750.0	1	2
1808.0	1730.0	5	2
1639.0	1672.0	6	2
1993.0	1162.0	1	2
1912.0	1402.0	12	2
2071.0	1759.0	2	3
1987.0	949.0	19	2
1648.0	1928.0	34	2
1854.0	1274.0	3	2
1566.0	1374.0	1	2
1665.0	1207.0	4	2
1278.0	1260.0	5	2
2321.0	1738.0	22	2
1481.0	1192.0	4	2
1484.0	1198.0	4	2
942.0	1780.0	1	2
2241.0	1662.0	2	3
2501.0	1075.0	2	0
1810.0	1389.0	3	3
1763.0	1222.0	39	2
